anonuser,mealplanid,Item.Name,Item.Cost,Vendor,days,hrs,mins,country,gender,major,yeargroup,food.type
1050,MCF Account,Fresh Milk,3.9,Akorno Catering LTD,Friday,20,13,Rwanda,Female,CS,2018,Beverage
1037,MCF Account,Classic:Stir fry spaghetti,5.2,Akorno Catering LTD,Friday,20,12,Ghana,Female,BA,2018,Non-Beverage
1062,MCF Account,PACK,0.5,Mannies Catering LTD,Friday,20,12,Ghana,Male,BA,2017,Non-Beverage
1145,17 GHC Limit Account,COKE 0.5 PET,3,Mannies Catering LTD,Friday,20,9,Ghana,Male,CS,2017,Beverage
1061,MCF Account,VIMTO,2,Mannies Catering LTD,Friday,20,1,Gambia,Male,Unkn,2018,Beverage
1018,MCF Account,TABLET ,2,Mannies Catering LTD,Friday,20,0,Ghana,Male,Unkn,2018,Non-Beverage
1115,MCF Account,MILO MIX,2.5,Mannies Catering LTD,Friday,20,0,Uganda,Male,CS,2018,Beverage
1014,MCF Account,SAUSAGE,0.7,Mannies Catering LTD,Friday,19,59,Ghana,Female,BA,2018,Non-Beverage
1124,20 GHC Limit Account,PACK,0.5,Mannies Catering LTD,Friday,19,56,Ghana,Female,BA,2018,Non-Beverage
1117,MCF Account,Classic:Saffron Rice,5.2,Akorno Catering LTD,Friday,19,56,Ghana,Male,CS,2018,Non-Beverage
1069,20 GHC Limit Account,H-WAAKYE/OMLET,5,Mannies Catering LTD,Friday,19,55,Ghana,Female,BA,2018,Non-Beverage
1093,MCF Account,Minerals,2,Akorno Catering LTD,Friday,19,53,Ghana,Male,BA,2018,Beverage
1023,MCF Account,Small Bottle Water,1,Akorno Catering LTD,Friday,19,51,Ghana,Female,BA,2017,Non-Beverage
1130,20 GHC Limit Account,YAM CHIPS & CHK,7,Mannies Catering LTD,Friday,19,47,Ghana,Female,BA,2017,Non-Beverage
1025,20 GHC Limit Account,COKE 0.5 PET,3,Mannies Catering LTD,Friday,19,46,Ghana,Male,MIS,2018,Beverage
1078,MCF Account,Classic:Boiled Yam,5.2,Akorno Catering LTD,Friday,19,43,Ghana,Female,BA,2018,Non-Beverage
